count	reward_sum	squared_reward_sum	length
462	-72.15993853046034	10007.609780621604	194
463	-77.38449167276256	10004.95559114031	197
464	-50.90686199266081	10010.376449663709	383
465	-16.740645542939077	10020.672779220413	525
466	-69.26387543809008	10014.850897328075	447
467	-53.290229251556376	10018.099642022155	562
468	202.31972076749653	47.39214245581268	1250
469	205.08866064105658	45.57363906995689	1197
470	83.52364863103378	10044.991243061608	1116
471	13.762391615785504	10028.183539132198	648
472	-37.37278906337492	10015.190020865786	408
473	-39.24960533590709	10015.115302034788	396
474	-8.31221245613088	10022.208071202154	686
475	-43.40609114619557	10016.718937563748	270
476	-24.802748750705476	10016.841881560653	500
477	-132.58444413229364	20.52050000424589	2000
478	41.993606543083814	10035.12014105136	832
479	-81.94162237229253	10004.014162424926	214
480	43.04979210785342	10034.921215214685	793
481	-96.43385073343661	10002.137501501153	160
482	32.73811838072251	10029.38189624025	821
483	-37.741065741640895	10015.040097609803	406
484	-7.686081096200255	10024.169092289623	461
485	79.89880109430302	10047.62602843735	863
486	20.51837571582294	10029.982465309222	664
487	-48.04791601743564	10011.417951908736	409
488	-78.30138370911054	10004.834958782592	177
489	-123.62969923551873	10016.856882388398	720
490	2.134657288448068	10025.159446471229	516
491	-67.52367969794807	10006.831777270374	250
492	-83.42595280942786	10003.772296956806	132
493	4.694659626326299	10027.5744694804	536
494	172.4404002105764	61.5282849779853	1576
495	72.67113684334518	10042.411042963411	836
496	-90.02395068397432	10007.979078106671	349
497	-61.182493583486696	10011.370846170896	337
498	-44.22303922805871	10015.053462563847	273
499	-21.701852885664195	10022.061509528106	490
500	-48.46068523231139	10012.8568365141	283
501	-60.39484562250827	10009.359364697248	240
502	64.8368611730501	10041.548536099868	828
503	10.021238401804979	10028.766392447644	641
504	-104.55374000596336	10004.322798745965	276
505	-99.0325311881184	10031.400272561878	1170
506	-82.35785816277813	10019.71238140427	762
507	-94.90612047600847	10002.867379183625	153
508	-79.8129607967056	10007.138603914143	186
509	-78.3196229702637	10004.550097323632	173
510	41.01607448473666	10038.471743547621	718
511	11.980805640904833	10027.600079667993	595
512	11.317331990152127	10025.615022355421	648
513	-37.05972992378678	10029.063919877448	548
514	104.6232581408988	10052.784375742573	997
515	211.27011059075568	54.89257277888795	1062
516	-41.93260193728394	10015.2544889332	420
517	-62.303316266646085	10008.230746955303	256
518	203.4718915255877	47.793734330116806	1222
519	-76.24235841736235	10006.205939049954	186
520	0.3610184195378565	10026.917520759547	492
521	-22.447062645795498	10021.304626097784	363
522	199.28558786906274	47.24282093578566	1242
523	205.08686071617083	47.154176293397256	1175
524	52.72716817136498	10039.134264133607	769
525	-108.18034001291126	10018.371771298005	457
526	-31.374758620063247	10017.544674450864	426
527	4.69447304647305	10026.687036078021	588
528	-87.87001593653092	10002.968119567933	116
529	-45.22553210187594	10015.723809035788	268
530	-70.8076035847203	10006.504867299205	224
531	97.20639745072918	10051.710022060586	1063
532	27.528085103489133	10029.569331525561	799
533	-75.5651286483275	10010.31353933449	408
534	-30.69589298132972	10018.88562608528	397
535	-17.59989322517073	10024.23701501618	493
536	-86.08404923544477	10018.97739351665	492
537	-71.59874823401277	10007.241082939196	170
538	-94.9490621574088	10002.959720272156	150
539	-11.865569607536926	10021.519414444689	497
540	41.97947986225762	10032.542003560993	790
541	-16.174662802960526	10022.827699136316	458
542	66.62599367064263	10054.19028885319	1130
543	203.33776563273764	48.3288634463601	1215
544	-66.34510681822255	10013.131293758484	342
545	104.38068748323715	10055.388089239234	936
546	212.3879575396068	54.79555875053199	1059
547	-62.54740188652654	10008.066677276487	267
548	-84.08427876311498	10004.718064422845	139
549	-50.035119627651724	10009.97866584597	426
550	79.66102966007782	10049.16011079397	886
551	-85.61603990899918	10004.712275603402	168
552	-139.94357899400413	10023.432651384737	880
553	94.93839726964424	10046.777631310737	1077
554	-28.970117873637903	10015.1251160071	464
555	216.17480072438818	55.54854531800501	1003
556	-87.24474714041543	10004.275542806587	142
557	-70.29584095926018	10007.170375393582	193
558	96.08929791039154	10053.585619839821	925
559	32.004984688020215	10030.868519375552	706
560	-46.28521186882666	10014.588074113288	296
561	64.24068311428573	10041.979168999394	799
562	-85.11399407914588	10002.547813594612	152
563	207.96676338505225	48.413079684549245	1144
564	208.1999341185996	49.693517524053924	1139
565	-61.467317696113135	10015.248847827334	422
566	-95.95861894919356	10002.509155140175	157
567	-27.199725576104882	10017.247560408883	411
568	-39.708526217867586	10016.919638771367	547
569	-33.197296926119535	10016.977571552987	467
570	-20.72660914815573	10020.1221163778	436
571	-90.5119836912714	10008.740240894975	260
572	-52.74658672859418	10023.322097304615	591
573	-68.12932880310824	10010.735608445064	282
574	-15.810522414803899	10018.763809842987	542
575	54.8264015130207	10041.749871664271	886
576	209.32513900526394	51.42343655186723	1092
577	-54.50124076799257	10011.054744410758	293
578	-22.386150773491707	10020.924778429919	576
579	-23.605894774802934	10023.888849212097	710
